epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
169,1036.48,1.3227,1.19821,0.01071,0.81377,0.58478,0.7122,0.46238,1.3967,1.39511,0.0164,0.005842,0.005842,0.005842
170,1042.09,1.3022,1.15562,0.01081,0.77015,0.61246,0.69663,0.45949,1.36265,1.38748,0.01616,0.00581725,0.00581725,0.00581725
171,1047.58,1.30576,1.18913,0.01077,0.84005,0.61938,0.73798,0.49433,1.33917,1.2232,0.01644,0.0057925,0.0057925,0.0057925
172,1054.73,1.29909,1.16763,0.01148,0.86926,0.59516,0.7347,0.48342,1.35557,1.27723,0.01657,0.00576775,0.00576775,0.00576775
173,1060.07,1.30884,1.17663,0.01067,0.7568,0.6782,0.74264,0.51218,1.26322,1.19144,0.01537,0.005743,0.005743,0.005743
174,1067.29,1.28319,1.13292,0.01072,0.76131,0.65115,0.73401,0.49761,1.29584,1.20359,0.01582,0.00571825,0.00571825,0.00571825
175,1072.64,1.2968,1.12605,0.01096,0.80169,0.62946,0.73301,0.48891,1.32556,1.23954,0.01615,0.0056935,0.0056935,0.0056935
176,1078.29,1.2765,1.12495,0.01112,0.79603,0.65052,0.7383,0.47194,1.38407,1.23419,0.01693,0.00566875,0.00566875,0.00566875
177,1085.41,1.3168,1.14318,0.01058,0.70714,0.60554,0.69056,0.45767,1.3556,1.37161,0.01649,0.005644,0.005644,0.005644
178,1090.67,1.29988,1.12934,0.01119,0.76201,0.7128,0.77214,0.51906,1.2894,1.10005,0.01557,0.00561925,0.00561925,0.00561925
179,1097.82,1.25486,1.11284,0.01059,0.80047,0.66633,0.76661,0.51426,1.28202,1.11649,0.01511,0.0055945,0.0055945,0.0055945
180,1103.21,1.27742,1.16041,0.01049,0.84516,0.65052,0.75222,0.49829,1.32859,1.11384,0.01575,0.00556975,0.00556975,0.00556975
181,1108.64,1.23189,1.15761,0.01044,0.82114,0.63542,0.7518,0.49243,1.34398,1.19228,0.01607,0.005545,0.005545,0.005545
182,1115.58,1.27497,1.15017,0.01074,0.81483,0.66436,0.76477,0.51248,1.28009,1.1494,0.01529,0.00552025,0.00552025,0.00552025
