epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,693.835,0.95789,0.82788,1.37135,0.7918,0.73694,0.81398,0.57767,1.09108,0.96541,1.57169,0.00655975,0.00655975,0.00655975
141,699.857,0.95207,0.82144,1.37295,0.79547,0.75433,0.81876,0.58974,1.07942,0.93154,1.55303,0.006535,0.006535,0.006535
142,704.137,0.97035,0.81497,1.39314,0.81146,0.76817,0.81426,0.56997,1.11288,0.94488,1.58464,0.00651025,0.00651025,0.00651025
143,708.486,1.00129,0.84558,1.41061,0.85166,0.71519,0.81435,0.56098,1.14138,0.96204,1.59099,0.0064855,0.0064855,0.0064855
144,713.983,0.97854,0.84036,1.39158,0.85628,0.68034,0.78593,0.54694,1.17349,1.00279,1.5778,0.00646075,0.00646075,0.00646075
145,718.52,0.96819,0.82369,1.39254,0.85666,0.74048,0.83859,0.61756,1.03523,0.8762,1.51518,0.006436,0.006436,0.006436
146,722.73,0.97544,0.82363,1.37892,0.87143,0.72318,0.81241,0.57616,1.11099,0.97929,1.54487,0.00641125,0.00641125,0.00641125
147,728.168,0.92597,0.8116,1.36699,0.85279,0.66147,0.74326,0.51237,1.20417,1.0939,1.63679,0.0063865,0.0063865,0.0063865
148,732.927,0.94567,0.79824,1.37209,0.82862,0.70588,0.77782,0.55159,1.12473,1.10869,1.5675,0.00636175,0.00636175,0.00636175
149,737.297,0.95072,0.8062,1.3774,0.84456,0.6436,0.75827,0.5485,1.11444,1.02749,1.55633,0.006337,0.006337,0.006337
150,742.007,0.92165,0.77198,1.34731,0.91879,0.70588,0.82168,0.5848,1.09484,0.91354,1.52926,0.00631225,0.00631225,0.00631225
151,747.475,0.96157,0.82325,1.38817,0.78719,0.74394,0.79957,0.57339,1.0969,0.96122,1.54103,0.0062875,0.0062875,0.0062875
152,751.672,0.95248,0.81031,1.37232,0.875,0.72664,0.8301,0.60399,1.04965,0.91139,1.50643,0.00626275,0.00626275,0.00626275
153,756.324,0.9213,0.78795,1.34599,0.86848,0.68546,0.79678,0.57208,1.07328,0.98482,1.5221,0.006238,0.006238,0.006238
154,761.42,0.95439,0.8244,1.37679,0.83292,0.6609,0.74463,0.50297,1.20733,1.12112,1.6215,0.00621325,0.00621325,0.00621325
155,765.49,0.91276,0.78029,1.34236,0.86696,0.6609,0.77147,0.55657,1.08612,1.01414,1.54138,0.0061885,0.0061885,0.0061885
156,770.068,0.90743,0.76897,1.33883,0.85677,0.64167,0.74071,0.50311,1.22842,1.0872,1.67744,0.00616375,0.00616375,0.00616375
157,775.922,0.94498,0.79105,1.37972,0.82161,0.73702,0.8266,0.58871,1.08743,0.93069,1.54523,0.006139,0.006139,0.006139
158,780.136,0.95208,0.81026,1.37221,0.87076,0.7301,0.84232,0.61992,1.0342,0.87961,1.5077,0.00611425,0.00611425,0.00611425
159,784.739,0.92057,0.783,1.35721,0.8203,0.75818,0.82371,0.59575,1.07172,0.87869,1.53955,0.0060895,0.0060895,0.0060895
160,790.369,0.91735,0.76897,1.34317,0.82238,0.78547,0.82784,0.60112,1.05775,0.89741,1.52448,0.00606475,0.00606475,0.00606475
161,794.494,0.93546,0.77925,1.34073,0.85864,0.71461,0.80852,0.58737,1.05101,0.97879,1.53179,0.00604,0.00604,0.00604
162,798.75,0.9017,0.75512,1.3243,0.7845,0.73702,0.79949,0.57235,1.08711,0.92913,1.56352,0.00601525,0.00601525,0.00601525
163,804.449,0.92285,0.78592,1.3383,0.81508,0.7474,0.82729,0.59268,1.03245,0.87333,1.52407,0.0059905,0.0059905,0.0059905
164,809.237,0.90862,0.7792,1.3293,0.81218,0.67335,0.73715,0.52263,1.14456,1.07212,1.64439,0.00596575,0.00596575,0.00596575
165,813.41,0.90433,0.75242,1.32672,0.80741,0.65279,0.73338,0.52093,1.17651,1.06196,1.64566,0.005941,0.005941,0.005941
166,818.989,0.9178,0.77187,1.34489,0.80032,0.68858,0.77154,0.53864,1.15384,1.03364,1.61227,0.00591625,0.00591625,0.00591625
167,823.626,0.91824,0.77228,1.33192,0.84806,0.71972,0.80669,0.58473,1.03278,0.92858,1.52716,0.0058915,0.0058915,0.0058915
